id,item_group_id,title,description,availability,condition,price,sale_price,size,link,image_link,additional_image_link,brand,google_product_category,product_type,additional_variant_attribute,custom_label_0,quantity_to_sell_on_facebook
1870-18-110,,12 Bridgestone e6 Yellow AAAAA/Mint Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_like_new,34.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/bridgestone-e6-yellow.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_yellow_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,,AAAAA/Mint Grade,
1886-31-189,1886,12 Bridgestone e6 AAAA/Near Mint Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_like_new,23.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/bridgestone-e6.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAAA/Near Mint Grade,AAAA/Near Mint Grade,
1886-31-190,1886,12 Bridgestone e6 AAA/Standard Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_good,19.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/bridgestone-e6.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAA/Standard Grade,AAA/Standard Grade,
1886-31-2272,1886,50 Bridgestone e6 AAAAA/Mint Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_like_new,104.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAAAA/Mint Grade,AAAAA/Mint Grade,
1886-31-2273,1886,50 Bridgestone e6 AAAA/Near Mint Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_like_new,84.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAAA/Near Mint Grade,AAAA/Near Mint Grade,
1886-31-2271,1886,50 Bridgestone e6 AAA/Standard Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_good,74.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAA/Standard Grade,AAA/Standard Grade,
1886-31-2274,1886,100 Bridgestone e6 AAA/Standard Grade,Best Value E6's In Australia. Buy Now and save $$$ with Lost Golf Balls!,in stock,used_good,119.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/bridgestone-e6.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAA/Standard Grade,AAA/Standard Grade,
1887-32-195,1887,50 Bridgestone e6 AAAAA/Mint Grade,"Huge Savings On 50 Bridgestone E6 Golf Balls. Cheap Golf Balls, VERY High Quality From Lost Golf Balls.",in stock,used_like_new,104.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6-50-b.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3_1.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAAAA/Mint Grade,AAAAA/Mint Grade,
1887-32-196,1887,50 Bridgestone e6 AAAA/Near Mint Grade,"Huge Savings On 50 Bridgestone E6 Golf Balls. Cheap Golf Balls, VERY High Quality From Lost Golf Balls.",in stock,used_like_new,84.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6-50-b.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3_1.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAAA/Near Mint Grade,AAAA/Near Mint Grade,
1887-32-1993,1887,50 Bridgestone e6 AAA/Standard Grade,"Huge Savings On 50 Bridgestone E6 Golf Balls. Cheap Golf Balls, VERY High Quality From Lost Golf Balls.",in stock,used_good,74.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6-50-b.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3_1.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,Grade:AAA/Standard Grade,AAA/Standard Grade,
1888-33-200,,100 Bridgestone e6 AAA/Standard Grade,"Save Money On 100 Bridgestone E6's In Australia. Fast Shipping, Buy Now and save $$$ with Lost Golf Balls!",in stock,used_good,119.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/bridgestone-e6-100-b.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_golf_balls_3_1_1.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,,AAA/Standard Grade,
1901-42-254,,12 Refinished Titleist Pro V1x AAA/Standard Grade,The Titleist Pro V1x is one of the softest and longest golf balls used in game today. They possess a large solid core with a urethane elastothane cover which allows the ball to generate high levels of spin around the greens. The balls represent one of the best value ways to purchase tour balls and play like the Pro's! If you are looking for long drives with lower trajectory whilst maintaining that soft green side feel than these balls are a must to try. Basic information of the Pro V1x - Durable Urethane Elastomer cover - Dimple design for increased ball flight - Alignment Integrated Marking - Polybutadiene core -->,in stock,used_good,25.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/refinished-titleist-pro-v1x-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,,AAA/Standard Grade,
1912-48-291,,12 Taylormade Tour Preferred X AAAA/Near Mint Grade,Best value Taylormade Tour Preferred X Golf Balls! Save up to $30 per dozen at Lost Golf Balls,in stock,used_like_new,29.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/taylormade-tour-preferred-x.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tour_preferred_x_golf_balls_2.jpg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,,AAAA/Near Mint Grade,
1953-67-4971,1953,12 Titleist Pro V1x AAAAA/Mint Grade,"The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_like_new,42.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4_2.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAAAA/Mint Grade,AAAAA/Mint Grade,
1953-67-406,1953,12 Titleist Pro V1x AAAA/Near Mint Grade,"The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_like_new,35.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4_2.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAAA/Near Mint Grade,AAAA/Near Mint Grade,
1953-67-407,1953,12 Titleist Pro V1X AAA/Standard Grade,"The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_good,26.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4_2.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
1953-67-2564,1953,12 Titleist Pro V1x AA/C Grade,"The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_fair,19.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4_2.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AA/C Grade,AA/C Grade,
1954-68-4913,1954,50 Titleist Pro V1x AAA/Standard Grade,"Titleist Pro V1x - #1 Ball On Worldwide Tours Titleist Pro V1x's are selling in pro shops all around Australia for up to $84.95 a dozen. Save big dollars by purchasing from Lost Golf Balls. The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_good,94.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-50-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4_2_1.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
1954-68-5068,1954,50 Titleist Pro V1x AA/C Grade,"Titleist Pro V1x - #1 Ball On Worldwide Tours Titleist Pro V1x's are selling in pro shops all around Australia for up to $84.95 a dozen. Save big dollars by purchasing from Lost Golf Balls. The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_fair,79.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-50-b.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_4_2_1.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AA/C Grade,AA/C Grade,
